group;Q1;Q2;Q3;Q4;total
BCLIMATE;0;0;0;0;0
RCS;0;0;0;0;0
RSDA;0;0;-0;0;0
H-CEL;0;0;0;0;0
RMIB-UGENT;0;0;0;5000000;0
