group;Q1;Q2;Q3;Q4;total
BCLIMATE;6144000;2048000;2048000;2048000;12288000
RCS;900000;2700000;2700000;2700000;9000000
RSDA;1360282;1133568;906854;1133568;4534272
H-CEL;20000;20000;40000;50000;870000
RMIB-UGENT;6200000;8600000;8900000;4600000;27500000
