group;Q1;Q2;Q3;Q4;total
BCLIMATE;0;0;0;0;0
RCS;0;0;400000;0;400000
RSDA;0;-3000000;4000000;0;3700000
H-CEL;0;0;700000;0;700000
RMIB-UGENT;0;-800000;-4000000;0;-4800000
