Project Usages

Resource,Type,User,Current used by user,Total used by user,Total used,Reserved value,Date,Uploaded at

credits,Consumable,vsc46187,4046.23 Hours,3534721.69 Hours,4857247.68 Hours,11682800.0 Hours,24/04/2025 - 00:00,25/04/2025 - 06:03
credits,Consumable,vsc45925,48.0 Hours,194981.7 Hours,4853201.45 Hours,11682800.0 Hours,24/04/2025 - 00:00,25/04/2025 - 06:03
credits,Consumable,vsc44251,3538.91 Hours,1127544.29 Hours,4853153.45 Hours,11682800.0 Hours,24/04/2025 - 00:00,25/04/2025 - 06:03
credits,Consumable,vsc46187,1764.3 Hours,3530675.46 Hours,4849614.54 Hours,11682800.0 Hours,23/04/2025 - 00:00,24/04/2025 - 06:03
credits,Consumable,vsc45925,85.07 Hours,194933.7 Hours,4847850.23 Hours,11682800.0 Hours,23/04/2025 - 00:00,24/04/2025 - 06:03
credits,Consumable,vsc44251,34622.44 Hours,1124005.37 Hours,4847765.16 Hours,11682800.0 Hours,23/04/2025 - 00:00,24/04/2025 - 06:03
credits,Consumable,vsc45925,197.71 Hours,194848.63 Hours,4813142.72 Hours,11682800.0 Hours,22/04/2025 - 00:00,23/04/2025 - 06:03
credits,Consumable,vsc44251,80703.85 Hours,1089382.93 Hours,4812945.01 Hours,11682800.0 Hours,22/04/2025 - 00:00,23/04/2025 - 06:03
credits,Consumable,vsc44251,91833.75 Hours,1008679.08 Hours,4732241.16 Hours,11682800.0 Hours,21/04/2025 - 00:00,22/04/2025 - 06:03
credits,Consumable,vsc45925,178.39 Hours,194650.92 Hours,4640407.41 Hours,11682800.0 Hours,21/04/2025 - 00:00,22/04/2025 - 06:03
credits,Consumable,vsc46187,63001.64 Hours,3528911.16 Hours,4640229.02 Hours,11682800.0 Hours,21/04/2025 - 00:00,22/04/2025 - 06:03
credits,Consumable,vsc46187,28013.06 Hours,3465909.51 Hours,4577227.38 Hours,11682800.0 Hours,20/04/2025 - 00:00,21/04/2025 - 06:03
credits,Consumable,vsc44251,56677.24 Hours,916845.33 Hours,4549214.31 Hours,11682800.0 Hours,20/04/2025 - 00:00,21/04/2025 - 06:03
credits,Consumable,vsc45925,60.84 Hours,194472.53 Hours,4492537.07 Hours,11682800.0 Hours,19/04/2025 - 00:00,20/04/2025 - 06:03
credits,Consumable,vsc44251,68534.16 Hours,860168.08 Hours,4492476.23 Hours,11682800.0 Hours,19/04/2025 - 00:00,20/04/2025 - 06:03
credits,Consumable,vsc46187,17411.88 Hours,3437896.45 Hours,4423942.07 Hours,11682800.0 Hours,19/04/2025 - 00:00,20/04/2025 - 06:03
credits,Consumable,vsc45925,289.05 Hours,194411.69 Hours,4406530.19 Hours,11682800.0 Hours,18/04/2025 - 00:00,19/04/2025 - 06:03
credits,Consumable,vsc44251,37955.69 Hours,791633.92 Hours,4406241.14 Hours,11682800.0 Hours,18/04/2025 - 00:00,19/04/2025 - 06:03
credits,Consumable,vsc46187,50444.58 Hours,3420484.57 Hours,4368285.45 Hours,11682800.0 Hours,18/04/2025 - 00:00,19/04/2025 - 06:03
credits,Consumable,vsc45925,420.98 Hours,194122.64 Hours,4317840.88 Hours,11682800.0 Hours,17/04/2025 - 00:00,18/04/2025 - 06:03
credits,Consumable,vsc44251,7864.67 Hours,753678.24 Hours,4317419.9 Hours,11682800.0 Hours,17/04/2025 - 00:00,18/04/2025 - 06:03
credits,Consumable,vsc46187,95629.12 Hours,3370040.0 Hours,4309555.23 Hours,11682800.0 Hours,17/04/2025 - 00:00,18/04/2025 - 06:03
credits,Consumable,vsc45925,332.6 Hours,193701.67 Hours,4213926.11 Hours,11682800.0 Hours,16/04/2025 - 00:00,17/04/2025 - 06:03
credits,Consumable,vsc44251,836.97 Hours,745813.57 Hours,4213593.5 Hours,11682800.0 Hours,16/04/2025 - 00:00,17/04/2025 - 06:03
credits,Consumable,vsc46187,98647.73 Hours,3274410.87 Hours,4212756.54 Hours,11682800.0 Hours,16/04/2025 - 00:00,17/04/2025 - 06:03
credits,Consumable,vsc44251,421.46 Hours,744976.6 Hours,4114108.81 Hours,11682800.0 Hours,15/04/2025 - 00:00,16/04/2025 - 06:03
credits,Consumable,vsc45925,194.8 Hours,193369.06 Hours,4113687.35 Hours,11682800.0 Hours,15/04/2025 - 00:00,16/04/2025 - 06:03
credits,Consumable,vsc46187,36978.69 Hours,3175763.14 Hours,4113492.55 Hours,11682800.0 Hours,15/04/2025 - 00:00,16/04/2025 - 06:03
credits,Consumable,vsc46187,19539.21 Hours,3138784.45 Hours,4076513.86 Hours,11682800.0 Hours,14/04/2025 - 00:00,15/04/2025 - 06:03
credits,Consumable,vsc45925,159.57 Hours,193174.26 Hours,4056974.64 Hours,11682800.0 Hours,14/04/2025 - 00:00,15/04/2025 - 06:03
credits,Consumable,vsc44251,462.06 Hours,744555.14 Hours,4056815.08 Hours,11682800.0 Hours,13/04/2025 - 00:00,14/04/2025 - 06:03
credits,Consumable,vsc44251,522.42 Hours,744093.08 Hours,4056353.02 Hours,11682800.0 Hours,12/04/2025 - 00:00,13/04/2025 - 06:03
credits,Consumable,vsc45925,81.45 Hours,193014.7 Hours,4055830.6 Hours,11682800.0 Hours,12/04/2025 - 00:00,13/04/2025 - 06:03
credits,Consumable,vsc45925,14.41 Hours,192933.25 Hours,4055749.15 Hours,11682800.0 Hours,11/04/2025 - 00:00,12/04/2025 - 06:03
credits,Consumable,vsc44251,3160.28 Hours,743570.66 Hours,4055734.74 Hours,11682800.0 Hours,11/04/2025 - 00:00,12/04/2025 - 06:03
credits,Consumable,vsc44251,173.84 Hours,740410.37 Hours,4052574.45 Hours,11682800.0 Hours,10/04/2025 - 00:00,11/04/2025 - 06:03
credits,Consumable,vsc45925,43.71 Hours,192918.84 Hours,4052400.61 Hours,11682800.0 Hours,10/04/2025 - 00:00,11/04/2025 - 06:03
credits,Consumable,vsc44251,15835.57 Hours,740236.53 Hours,4052356.9 Hours,11682800.0 Hours,09/04/2025 - 00:00,10/04/2025 - 06:03
credits,Consumable,vsc45925,3724.81 Hours,192875.13 Hours,4036521.34 Hours,11682800.0 Hours,09/04/2025 - 00:00,10/04/2025 - 06:03
credits,Consumable,vsc46187,1404.2 Hours,3119245.24 Hours,4032796.53 Hours,11682800.0 Hours,09/04/2025 - 00:00,10/04/2025 - 06:03
credits,Consumable,vsc46187,1392.54 Hours,3117841.04 Hours,4031392.33 Hours,11682800.0 Hours,08/04/2025 - 00:00,09/04/2025 - 06:03
credits,Consumable,vsc45925,480.42 Hours,189150.32 Hours,4029999.8 Hours,11682800.0 Hours,08/04/2025 - 00:00,09/04/2025 - 06:03
credits,Consumable,vsc44251,37583.09 Hours,724400.97 Hours,4029519.38 Hours,11682800.0 Hours,08/04/2025 - 00:00,09/04/2025 - 06:03
credits,Consumable,vsc45925,117.04 Hours,188669.9 Hours,3991936.29 Hours,11682800.0 Hours,07/04/2025 - 00:00,08/04/2025 - 06:03
credits,Consumable,vsc44251,33316.16 Hours,686817.88 Hours,3991819.25 Hours,11682800.0 Hours,07/04/2025 - 00:00,08/04/2025 - 06:03
credits,Consumable,vsc45925,832.42 Hours,188552.86 Hours,3958503.09 Hours,11682800.0 Hours,06/04/2025 - 00:00,07/04/2025 - 06:03
credits,Consumable,vsc44251,35495.65 Hours,653501.72 Hours,3957670.67 Hours,11682800.0 Hours,06/04/2025 - 00:00,07/04/2025 - 06:03
credits,Consumable,vsc46187,1860.07 Hours,3116448.51 Hours,3922175.02 Hours,11682800.0 Hours,06/04/2025 - 00:00,07/04/2025 - 06:03
credits,Consumable,vsc45925,864.33 Hours,187720.44 Hours,3920314.95 Hours,11682800.0 Hours,05/04/2025 - 00:00,06/04/2025 - 06:03
credits,Consumable,vsc44251,67411.57 Hours,618006.07 Hours,3919450.62 Hours,11682800.0 Hours,05/04/2025 - 00:00,06/04/2025 - 06:03
credits,Consumable,vsc46187,10136.62 Hours,3114588.44 Hours,3852039.05 Hours,11682800.0 Hours,05/04/2025 - 00:00,06/04/2025 - 06:03
credits,Consumable,vsc45925,326.22 Hours,186856.11 Hours,3841902.42 Hours,11682800.0 Hours,04/04/2025 - 00:00,05/04/2025 - 06:03
credits,Consumable,vsc44251,63624.87 Hours,550594.5 Hours,3841576.2 Hours,11682800.0 Hours,04/04/2025 - 00:00,05/04/2025 - 06:03
credits,Consumable,vsc46187,1599.82 Hours,3104451.82 Hours,3777951.33 Hours,11682800.0 Hours,04/04/2025 - 00:00,05/04/2025 - 06:03
credits,Consumable,vsc45925,1184.68 Hours,186529.89 Hours,3776351.51 Hours,11682800.0 Hours,03/04/2025 - 00:00,04/04/2025 - 06:03
credits,Consumable,vsc46187,13873.98 Hours,3102851.99 Hours,3775166.83 Hours,11682800.0 Hours,03/04/2025 - 00:00,04/04/2025 - 06:03
credits,Consumable,vsc44251,125016.54 Hours,486969.63 Hours,3761292.85 Hours,11682800.0 Hours,03/04/2025 - 00:00,04/04/2025 - 06:03
credits,Consumable,vsc45925,306.2 Hours,185345.21 Hours,3636276.3 Hours,11682800.0 Hours,02/04/2025 - 00:00,03/04/2025 - 06:03
credits,Consumable,vsc44251,117528.56 Hours,361953.09 Hours,3635970.11 Hours,11682800.0 Hours,02/04/2025 - 00:00,03/04/2025 - 06:03
credits,Consumable,vsc46187,17605.28 Hours,3088978.01 Hours,3518441.54 Hours,11682800.0 Hours,02/04/2025 - 00:00,03/04/2025 - 06:03
credits,Consumable,vsc45925,373.74 Hours,185039.01 Hours,3500836.26 Hours,11682800.0 Hours,01/04/2025 - 00:00,02/04/2025 - 06:03
credits,Consumable,vsc46187,482.29 Hours,3071372.73 Hours,3500462.52 Hours,11682800.0 Hours,01/04/2025 - 00:00,02/04/2025 - 06:03
credits,Consumable,vsc44251,84445.66 Hours,244424.52 Hours,3499980.23 Hours,11682800.0 Hours,01/04/2025 - 00:00,02/04/2025 - 06:03
