Project Usages

Resource,Type,User,Current used by user,Total used by user,Total used,Reserved value,Date,Uploaded at

cpu,Consumable,vsc43004,140.86 Hours,3044.29 Hours,19225836.57 Hours,51212384.0 Hours,28/04/2025 - 00:00,29/04/2025 - 06:03
cpu,Consumable,vsc45381,119.45 Hours,7558508.31 Hours,19225695.71 Hours,51212384.0 Hours,28/04/2025 - 00:00,29/04/2025 - 06:03
cpu,Consumable,vsc45302,1753.6 Hours,881078.03 Hours,19225576.25 Hours,51212384.0 Hours,28/04/2025 - 00:00,29/04/2025 - 06:03
cpu,Consumable,vsc45628,20752.66 Hours,1444941.33 Hours,19223822.65 Hours,51212384.0 Hours,28/04/2025 - 00:00,29/04/2025 - 06:03
cpu,Consumable,vsc46032,18561.96 Hours,3449645.08 Hours,19203069.99 Hours,51212384.0 Hours,28/04/2025 - 00:00,29/04/2025 - 06:03
cpu,Consumable,vsc45628,16845.4 Hours,1424188.67 Hours,19184508.04 Hours,51212384.0 Hours,27/04/2025 - 00:00,28/04/2025 - 06:03
cpu,Consumable,vsc46032,40515.61 Hours,3431083.12 Hours,19167662.63 Hours,51212384.0 Hours,27/04/2025 - 00:00,28/04/2025 - 06:03
cpu,Consumable,vsc45381,192.49 Hours,7558388.86 Hours,19127147.02 Hours,51212384.0 Hours,26/04/2025 - 00:00,27/04/2025 - 06:03
cpu,Consumable,vsc45628,28181.5 Hours,1407343.27 Hours,19126954.53 Hours,51212384.0 Hours,26/04/2025 - 00:00,27/04/2025 - 06:03
cpu,Consumable,vsc46032,41050.96 Hours,3390567.51 Hours,19098773.03 Hours,51212384.0 Hours,26/04/2025 - 00:00,27/04/2025 - 06:03
cpu,Consumable,vsc45302,1.22 Hours,879324.43 Hours,19057722.08 Hours,51212384.0 Hours,25/04/2025 - 00:00,26/04/2025 - 06:03
cpu,Consumable,vsc45628,17336.49 Hours,1379161.77 Hours,19057720.85 Hours,51212384.0 Hours,25/04/2025 - 00:00,26/04/2025 - 06:03
cpu,Consumable,vsc45381,60.04 Hours,7558196.36 Hours,19040384.36 Hours,51212384.0 Hours,25/04/2025 - 00:00,26/04/2025 - 06:03
cpu,Consumable,vsc46032,29925.16 Hours,3349516.56 Hours,19040324.32 Hours,51212384.0 Hours,25/04/2025 - 00:00,26/04/2025 - 06:03
cpu,Consumable,vsc43004,104.27 Hours,2903.42 Hours,19010399.16 Hours,51212384.0 Hours,24/04/2025 - 00:00,25/04/2025 - 06:03
cpu,Consumable,vsc45628,15712.39 Hours,1361825.28 Hours,19010294.9 Hours,51212384.0 Hours,24/04/2025 - 00:00,25/04/2025 - 06:03
cpu,Consumable,vsc45381,2917.8 Hours,7558136.32 Hours,18994582.51 Hours,51212384.0 Hours,24/04/2025 - 00:00,25/04/2025 - 06:03
cpu,Consumable,vsc46032,26078.9 Hours,3319591.4 Hours,18991664.71 Hours,51212384.0 Hours,24/04/2025 - 00:00,25/04/2025 - 06:03
cpu,Consumable,vsc43004,32.5 Hours,2799.16 Hours,18965585.81 Hours,51212384.0 Hours,23/04/2025 - 00:00,24/04/2025 - 06:03
cpu,Consumable,vsc45263,34.3 Hours,5522656.23 Hours,18965553.31 Hours,51212384.0 Hours,23/04/2025 - 00:00,24/04/2025 - 06:03
cpu,Consumable,vsc45302,9.0 Hours,879323.2 Hours,18965519.02 Hours,51212384.0 Hours,23/04/2025 - 00:00,24/04/2025 - 06:03
cpu,Consumable,vsc45628,15736.5 Hours,1346112.89 Hours,18965510.02 Hours,51212384.0 Hours,23/04/2025 - 00:00,24/04/2025 - 06:03
cpu,Consumable,vsc45381,778.84 Hours,7555218.52 Hours,18949773.52 Hours,51212384.0 Hours,23/04/2025 - 00:00,24/04/2025 - 06:03
cpu,Consumable,vsc45263,193.76 Hours,5522621.93 Hours,18948994.68 Hours,51212384.0 Hours,22/04/2025 - 00:00,23/04/2025 - 06:03
cpu,Consumable,vsc45381,750.46 Hours,7554439.69 Hours,18948800.92 Hours,51212384.0 Hours,22/04/2025 - 00:00,23/04/2025 - 06:03
