Project Usages

Resource,Type,User,Current used by user,Total used by user,Total used,Reserved value,Date,Uploaded at


cpu,Consumable,vsc31332,384.04 Hours,1588023.72 Hours,12170832.9 Hours,13623824.0 Hours,16/12/2025 - 00:00,17/12/2025 - 06:03
cpu,Consumable,vsc35191,424.48 Hours,6900352.95 Hours,12170448.86 Hours,13623824.0 Hours,16/12/2025 - 00:00,17/12/2025 - 06:03
cpu,Consumable,vsc31497,9.62 Hours,89980.16 Hours,12170024.38 Hours,13623824.0 Hours,15/12/2025 - 00:00,16/12/2025 - 06:03
cpu,Consumable,vsc31332,384.3 Hours,1587639.68 Hours,12170014.76 Hours,13623824.0 Hours,15/12/2025 - 00:00,16/12/2025 - 06:03
cpu,Consumable,vsc35191,9706.02 Hours,6899928.47 Hours,12169630.46 Hours,13623824.0 Hours,15/12/2025 - 00:00,16/12/2025 - 06:03
cpu,Consumable,vsc35191,287.36 Hours,6890222.45 Hours,12159924.44 Hours,13623824.0 Hours,12/12/2025 - 00:00,13/12/2025 - 06:03
cpu,Consumable,vsc35191,6729.63 Hours,6889935.09 Hours,12159637.08 Hours,13623824.0 Hours,11/12/2025 - 00:00,12/12/2025 - 06:03
cpu,Consumable,vsc31332,432.2 Hours,1587255.37 Hours,12152907.45 Hours,13623824.0 Hours,10/12/2025 - 00:00,11/12/2025 - 06:03
cpu,Consumable,vsc35191,48.36 Hours,6883205.46 Hours,12152475.26 Hours,13623824.0 Hours,10/12/2025 - 00:00,11/12/2025 - 06:03
cpu,Consumable,vsc31332,384.22 Hours,1586823.18 Hours,12152426.9 Hours,13623824.0 Hours,09/12/2025 - 00:00,10/12/2025 - 06:03
cpu,Consumable,vsc35191,9266.6 Hours,6883157.1 Hours,12152042.67 Hours,13623824.0 Hours,09/12/2025 - 00:00,10/12/2025 - 06:03
cpu,Consumable,vsc31332,420.33 Hours,1586438.96 Hours,12142776.07 Hours,13623824.0 Hours,08/12/2025 - 00:00,09/12/2025 - 06:03
cpu,Consumable,vsc35191,6587.1 Hours,6873890.5 Hours,12142355.75 Hours,13623824.0 Hours,08/12/2025 - 00:00,09/12/2025 - 06:03
cpu,Consumable,vsc35191,9216.18 Hours,6867303.4 Hours,12135768.65 Hours,13623824.0 Hours,06/12/2025 - 00:00,07/12/2025 - 06:03
cpu,Consumable,vsc31332,819.59 Hours,1586018.63 Hours,12126552.47 Hours,13623824.0 Hours,05/12/2025 - 00:00,06/12/2025 - 06:03
cpu,Consumable,vsc35191,10044.86 Hours,6858087.22 Hours,12125732.88 Hours,13623824.0 Hours,05/12/2025 - 00:00,06/12/2025 - 06:03
cpu,Consumable,vsc31332,210.1 Hours,1585199.04 Hours,12115688.02 Hours,13623824.0 Hours,04/12/2025 - 00:00,05/12/2025 - 06:03
cpu,Consumable,vsc31332,880.65 Hours,1584988.95 Hours,12115477.93 Hours,13623824.0 Hours,03/12/2025 - 00:00,04/12/2025 - 06:03
cpu,Consumable,vsc35191,6670.79 Hours,6848042.37 Hours,12114597.27 Hours,13623824.0 Hours,03/12/2025 - 00:00,04/12/2025 - 06:03
