Project Usages

Resource,Type,User,Current used by user,Total used by user,Total used,Reserved value,Date,Uploaded at

gpu,Consumable,vsc42145,59.34 Hours,7763.51 Hours,7898.5 Hours,21000.0 Hours,21/12/2025 - 00:00,22/12/2025 - 06:03
gpu,Consumable,vsc42145,2.84 Hours,7704.17 Hours,7839.16 Hours,21000.0 Hours,20/12/2025 - 00:00,21/12/2025 - 06:03
gpu,Consumable,vsc46240,10.01 Hours,134.99 Hours,7836.33 Hours,21000.0 Hours,18/12/2025 - 00:00,19/12/2025 - 06:03
gpu,Consumable,vsc46240,0.04 Hours,124.99 Hours,7826.32 Hours,21000.0 Hours,17/12/2025 - 00:00,18/12/2025 - 06:03
gpu,Consumable,vsc42145,0.0 Hours,7701.33 Hours,7826.28 Hours,21000.0 Hours,03/12/2025 - 00:00,04/12/2025 - 06:03
gpu,Consumable,vsc42145,300.05 Hours,7701.33 Hours,7826.28 Hours,21000.0 Hours,04/11/2025 - 00:00,05/11/2025 - 06:03
gpu,Consumable,vsc46240,0.0 Hours,124.94 Hours,7526.23 Hours,21000.0 Hours,03/11/2025 - 00:00,04/11/2025 - 06:03
gpu,Consumable,vsc42145,280.09 Hours,7401.28 Hours,7526.23 Hours,21000.0 Hours,01/11/2025 - 00:00,02/11/2025 - 06:03
gpu,Consumable,vsc42145,232.94 Hours,7121.2 Hours,7246.14 Hours,21000.0 Hours,31/10/2025 - 00:00,01/11/2025 - 06:03
gpu,Consumable,vsc46240,0.0 Hours,124.94 Hours,7013.2 Hours,21000.0 Hours,29/10/2025 - 00:00,30/10/2025 - 06:03
gpu,Consumable,vsc48989,0.0 Hours,0.0 Hours,7013.2 Hours,21000.0 Hours,27/10/2025 - 00:00,28/10/2025 - 06:03
gpu,Consumable,vsc42145,46.66 Hours,6888.26 Hours,7013.2 Hours,21000.0 Hours,27/10/2025 - 00:00,28/10/2025 - 06:03
gpu,Consumable,vsc42145,28.97 Hours,6841.6 Hours,6966.55 Hours,21000.0 Hours,26/10/2025 - 00:00,27/10/2025 - 06:03
gpu,Consumable,vsc46240,0.0 Hours,124.94 Hours,6937.58 Hours,21000.0 Hours,24/10/2025 - 00:00,25/10/2025 - 06:03
gpu,Consumable,vsc42145,50.0 Hours,6812.63 Hours,6937.58 Hours,21000.0 Hours,24/10/2025 - 00:00,25/10/2025 - 06:03
gpu,Consumable,vsc46240,0.0 Hours,124.94 Hours,6887.57 Hours,21000.0 Hours,22/10/2025 - 00:00,23/10/2025 - 06:03
gpu,Consumable,vsc42145,50.01 Hours,6762.63 Hours,6887.57 Hours,21000.0 Hours,22/10/2025 - 00:00,23/10/2025 - 06:03
gpu,Consumable,vsc46240,0.0 Hours,124.94 Hours,6837.57 Hours,21000.0 Hours,21/10/2025 - 00:00,22/10/2025 - 06:03
gpu,Consumable,vsc46240,0.0 Hours,124.94 Hours,6837.57 Hours,21000.0 Hours,20/10/2025 - 00:00,21/10/2025 - 06:03
gpu,Consumable,vsc42145,50.01 Hours,6712.62 Hours,6837.57 Hours,21000.0 Hours,19/10/2025 - 00:00,20/10/2025 - 06:03
gpu,Consumable,vsc46240,0.0 Hours,124.94 Hours,6787.56 Hours,21000.0 Hours,17/10/2025 - 00:00,18/10/2025 - 06:03
gpu,Consumable,vsc42145,57.2 Hours,6662.61 Hours,6787.56 Hours,21000.0 Hours,16/10/2025 - 00:00,17/10/2025 - 06:03
gpu,Consumable,vsc46240,0.0 Hours,124.94 Hours,6730.36 Hours,21000.0 Hours,15/10/2025 - 00:00,16/10/2025 - 06:03
gpu,Consumable,vsc46240,0.0 Hours,124.94 Hours,6730.36 Hours,21000.0 Hours,14/10/2025 - 00:00,15/10/2025 - 06:03
gpu,Consumable,vsc42145,50.0 Hours,6605.42 Hours,6730.36 Hours,21000.0 Hours,14/10/2025 - 00:00,15/10/2025 - 06:03
gpu,Consumable,vsc46240,0.0 Hours,124.94 Hours,6680.36 Hours,21000.0 Hours,13/10/2025 - 00:00,14/10/2025 - 06:03
gpu,Consumable,vsc48989,0.0 Hours,0.0 Hours,6680.36 Hours,21000.0 Hours,13/10/2025 - 00:00,14/10/2025 - 06:03
gpu,Consumable,vsc42145,50.01 Hours,6555.41 Hours,6680.36 Hours,21000.0 Hours,12/10/2025 - 00:00,13/10/2025 - 06:03
gpu,Consumable,vsc46240,0.0 Hours,124.94 Hours,6630.35 Hours,21000.0 Hours,10/10/2025 - 00:00,11/10/2025 - 06:03
gpu,Consumable,vsc46240,0.0 Hours,124.94 Hours,6630.35 Hours,21000.0 Hours,09/10/2025 - 00:00,10/10/2025 - 06:03
gpu,Consumable,vsc46240,0.0 Hours,124.94 Hours,6630.35 Hours,21000.0 Hours,08/10/2025 - 00:00,09/10/2025 - 06:03
gpu,Consumable,vsc46240,0.0 Hours,124.94 Hours,6630.35 Hours,21000.0 Hours,07/10/2025 - 00:00,08/10/2025 - 06:03
gpu,Consumable,vsc46240,0.0 Hours,124.94 Hours,6630.35 Hours,21000.0 Hours,06/10/2025 - 00:00,07/10/2025 - 06:03
gpu,Consumable,vsc46240,0.0 Hours,124.94 Hours,6630.35 Hours,21000.0 Hours,03/10/2025 - 00:00,04/10/2025 - 06:03
gpu,Consumable,vsc46240,0.0 Hours,124.94 Hours,6630.35 Hours,21000.0 Hours,02/10/2025 - 00:00,03/10/2025 - 06:03
