Project Usages

Resource,Type,User,Current used by user,Total used by user,Total used,Reserved value,Date,Uploaded at

credits,Consumable,vsc45925,53.78 Hours,27459.28 Hours,306193.0 Hours,830000.0 Hours,03/01/2025 - 00:00,04/01/2025 - 06:03
credits,Consumable,vsc45925,178.57 Hours,27405.5 Hours,306139.22 Hours,830000.0 Hours,02/01/2025 - 00:00,03/01/2025 - 06:03
credits,Consumable,vsc45925,382.22 Hours,27226.92 Hours,305960.64 Hours,830000.0 Hours,01/01/2025 - 00:00,02/01/2025 - 06:03
credits,Consumable,vsc45925,141.72 Hours,26844.71 Hours,305578.43 Hours,830000.0 Hours,31/12/2024 - 00:00,01/01/2025 - 06:03
credits,Consumable,vsc44251,10.39 Hours,1020.37 Hours,305436.7 Hours,830000.0 Hours,17/12/2024 - 00:00,18/12/2024 - 06:03
credits,Consumable,vsc44251,8.07 Hours,1009.98 Hours,305426.32 Hours,830000.0 Hours,16/12/2024 - 00:00,17/12/2024 - 06:03
credits,Consumable,vsc46187,2293.64 Hours,277713.35 Hours,305418.25 Hours,830000.0 Hours,16/12/2024 - 00:00,17/12/2024 - 06:03
credits,Consumable,vsc46187,17591.6 Hours,275419.7 Hours,303124.61 Hours,830000.0 Hours,15/12/2024 - 00:00,16/12/2024 - 06:03
credits,Consumable,vsc46187,215.54 Hours,257828.1 Hours,285533.0 Hours,830000.0 Hours,14/12/2024 - 00:00,15/12/2024 - 06:03
credits,Consumable,vsc44251,336.27 Hours,1001.92 Hours,285317.46 Hours,830000.0 Hours,13/12/2024 - 00:00,14/12/2024 - 06:03
credits,Consumable,vsc46187,3886.06 Hours,257612.55 Hours,284981.19 Hours,830000.0 Hours,13/12/2024 - 00:00,14/12/2024 - 06:03
credits,Consumable,vsc44251,375.55 Hours,665.65 Hours,281095.13 Hours,830000.0 Hours,12/12/2024 - 00:00,13/12/2024 - 06:03
credits,Consumable,vsc46187,29321.23 Hours,253726.5 Hours,280719.58 Hours,830000.0 Hours,12/12/2024 - 00:00,13/12/2024 - 06:03
credits,Consumable,vsc44251,11.36 Hours,290.1 Hours,251398.35 Hours,830000.0 Hours,11/12/2024 - 00:00,12/12/2024 - 06:03
credits,Consumable,vsc46187,26785.03 Hours,224405.27 Hours,251386.99 Hours,830000.0 Hours,08/12/2024 - 00:00,09/12/2024 - 06:03
credits,Consumable,vsc46187,78.9 Hours,197620.23 Hours,224601.96 Hours,830000.0 Hours,07/12/2024 - 00:00,08/12/2024 - 06:03
credits,Consumable,vsc44251,14.0 Hours,278.74 Hours,224523.06 Hours,830000.0 Hours,06/12/2024 - 00:00,07/12/2024 - 06:03
credits,Consumable,vsc46187,4.58 Hours,197541.33 Hours,224509.06 Hours,830000.0 Hours,05/12/2024 - 00:00,06/12/2024 - 06:03
