Project Usages

Resource,Type,User,Current used by user,Total used by user,Total used,Reserved value,Date,Uploaded at

credits,Consumable,vsc11084,896.16 Hours,3217728.09 Hours,11976841.44 Hours,45527040.0 Hours,02/11/2025 - 00:00,03/11/2025 - 06:03
credits,Consumable,vsc11084,3732.44 Hours,3216831.93 Hours,11975945.28 Hours,45527040.0 Hours,01/11/2025 - 00:00,02/11/2025 - 06:03
credits,Consumable,vsc10524,18.56 Hours,18.56 Hours,11972212.83 Hours,45527040.0 Hours,31/10/2025 - 00:00,01/11/2025 - 06:03
credits,Consumable,vsc10951,82.4 Hours,243461.36 Hours,11972194.27 Hours,45527040.0 Hours,31/10/2025 - 00:00,01/11/2025 - 06:03
credits,Consumable,vsc11084,82762.09 Hours,3213099.48 Hours,11972111.87 Hours,45527040.0 Hours,31/10/2025 - 00:00,01/11/2025 - 06:03
credits,Consumable,vsc10951,1104.0 Hours,243378.96 Hours,11889349.78 Hours,45527040.0 Hours,30/10/2025 - 00:00,31/10/2025 - 06:03
credits,Consumable,vsc11084,33378.67 Hours,3130337.39 Hours,11888245.78 Hours,45527040.0 Hours,30/10/2025 - 00:00,31/10/2025 - 06:03
credits,Consumable,vsc10951,464.65 Hours,242274.96 Hours,11854867.11 Hours,45527040.0 Hours,29/10/2025 - 00:00,30/10/2025 - 06:03
credits,Consumable,vsc11084,25156.29 Hours,3096958.72 Hours,11854402.45 Hours,45527040.0 Hours,29/10/2025 - 00:00,30/10/2025 - 06:03
credits,Consumable,vsc10951,1358.76 Hours,241810.31 Hours,11829246.16 Hours,45527040.0 Hours,28/10/2025 - 00:00,29/10/2025 - 06:03
credits,Consumable,vsc11084,15523.11 Hours,3071802.42 Hours,11827887.4 Hours,45527040.0 Hours,28/10/2025 - 00:00,29/10/2025 - 06:03
credits,Consumable,vsc10951,550.23 Hours,240451.55 Hours,11812364.29 Hours,45527040.0 Hours,27/10/2025 - 00:00,28/10/2025 - 06:03
credits,Consumable,vsc11084,246063.46 Hours,3056279.32 Hours,11811814.06 Hours,45527040.0 Hours,27/10/2025 - 00:00,28/10/2025 - 06:03
credits,Consumable,vsc11084,12722.73 Hours,2810215.86 Hours,11565750.6 Hours,45527040.0 Hours,26/10/2025 - 00:00,27/10/2025 - 06:03
credits,Consumable,vsc11084,28584.5 Hours,2797493.13 Hours,11553027.88 Hours,45527040.0 Hours,25/10/2025 - 00:00,26/10/2025 - 06:03
credits,Consumable,vsc10951,40.03 Hours,239901.32 Hours,11524443.38 Hours,45527040.0 Hours,24/10/2025 - 00:00,25/10/2025 - 06:03
credits,Consumable,vsc11084,4110.83 Hours,2768908.63 Hours,11524403.35 Hours,45527040.0 Hours,24/10/2025 - 00:00,25/10/2025 - 06:03
credits,Consumable,vsc11084,168193.86 Hours,2764797.8 Hours,11520292.52 Hours,45527040.0 Hours,23/10/2025 - 00:00,24/10/2025 - 06:03
