Project Usages

Resource,Type,User,Current used by user,Total used by user,Total used,Reserved value,Date,Uploaded at

cpu,Consumable,vsc45381,1841.19 Hours,10055180.8 Hours,30740737.67 Hours,51212384.0 Hours,31/10/2025 - 00:00,01/11/2025 - 06:03
cpu,Consumable,vsc46275,79.46 Hours,1298147.23 Hours,30738896.48 Hours,51212384.0 Hours,31/10/2025 - 00:00,01/11/2025 - 06:03
cpu,Consumable,vsc45628,9814.53 Hours,2145912.43 Hours,30738817.02 Hours,51212384.0 Hours,31/10/2025 - 00:00,01/11/2025 - 06:03
cpu,Consumable,vsc45263,32500.11 Hours,6486012.73 Hours,30729002.49 Hours,51212384.0 Hours,31/10/2025 - 00:00,01/11/2025 - 06:03
cpu,Consumable,vsc46032,71878.76 Hours,8362182.52 Hours,30696502.38 Hours,51212384.0 Hours,31/10/2025 - 00:00,01/11/2025 - 06:03
cpu,Consumable,vsc46275,1.92 Hours,1298067.77 Hours,30624623.62 Hours,51212384.0 Hours,30/10/2025 - 00:00,31/10/2025 - 06:03
cpu,Consumable,vsc46613,3.0 Hours,87.74 Hours,30624621.7 Hours,51212384.0 Hours,30/10/2025 - 00:00,31/10/2025 - 06:03
cpu,Consumable,vsc45263,411.2 Hours,6453512.62 Hours,30624618.69 Hours,51212384.0 Hours,30/10/2025 - 00:00,31/10/2025 - 06:03
cpu,Consumable,vsc45628,7772.27 Hours,2136097.89 Hours,30624207.49 Hours,51212384.0 Hours,30/10/2025 - 00:00,31/10/2025 - 06:03
cpu,Consumable,vsc46032,33311.69 Hours,8290303.76 Hours,30616435.22 Hours,51212384.0 Hours,30/10/2025 - 00:00,31/10/2025 - 06:03
cpu,Consumable,vsc44757,359.27 Hours,484788.15 Hours,30583123.53 Hours,51212384.0 Hours,30/10/2025 - 00:00,31/10/2025 - 06:03
cpu,Consumable,vsc45381,284615.47 Hours,10053339.62 Hours,30582764.26 Hours,51212384.0 Hours,30/10/2025 - 00:00,31/10/2025 - 06:03
cpu,Consumable,vsc43561,40013.94 Hours,989437.06 Hours,30298148.79 Hours,51212384.0 Hours,30/10/2025 - 00:00,31/10/2025 - 06:03
cpu,Consumable,vsc45628,8690.98 Hours,2128325.62 Hours,30258134.85 Hours,51212384.0 Hours,29/10/2025 - 00:00,30/10/2025 - 06:03
cpu,Consumable,vsc46275,1352.17 Hours,1298065.85 Hours,30249443.88 Hours,51212384.0 Hours,29/10/2025 - 00:00,30/10/2025 - 06:03
cpu,Consumable,vsc45263,10471.04 Hours,6453101.42 Hours,30248091.71 Hours,51212384.0 Hours,29/10/2025 - 00:00,30/10/2025 - 06:03
cpu,Consumable,vsc45381,203168.1 Hours,9768724.15 Hours,30237620.67 Hours,51212384.0 Hours,29/10/2025 - 00:00,30/10/2025 - 06:03
cpu,Consumable,vsc46032,18668.62 Hours,8256992.08 Hours,30034452.57 Hours,51212384.0 Hours,29/10/2025 - 00:00,30/10/2025 - 06:03
cpu,Consumable,vsc46275,0.69 Hours,1296713.68 Hours,30015783.95 Hours,51212384.0 Hours,28/10/2025 - 00:00,29/10/2025 - 06:03
cpu,Consumable,vsc45381,261.2 Hours,9565556.05 Hours,30015783.26 Hours,51212384.0 Hours,28/10/2025 - 00:00,29/10/2025 - 06:03
cpu,Consumable,vsc45263,1120.16 Hours,6442630.38 Hours,30015522.06 Hours,51212384.0 Hours,28/10/2025 - 00:00,29/10/2025 - 06:03
cpu,Consumable,vsc45628,1888.0 Hours,2119634.65 Hours,30014401.91 Hours,51212384.0 Hours,28/10/2025 - 00:00,29/10/2025 - 06:03
cpu,Consumable,vsc43561,39513.99 Hours,949423.12 Hours,30012513.91 Hours,51212384.0 Hours,28/10/2025 - 00:00,29/10/2025 - 06:03
