,BCLIMATE,RCS,RSDA,H-CEL,RMIB-UGENT
Q1,8306985.120000001,130940.87000000001,334700.4699999999,0.0,3178153.1100000003
Q2,213115.58000000002,1094570.54,365773.4799999999,117463.42,2766263.5999999996
Q3,55131.63,2513901.37,2168595.91,12404.76,2880165.49
Q4,31772.04,815873.3499999999,2706478.7499999995,175568.49,5772694.23
total,8607004.370000001,4555286.13,5575548.609999999,305436.67,14597276.43
