,BCLIMATE,RCS,RSDA,H-CEL,RMIB-UGENT
Q1,596069.6200000001,1921241.6099999999,456948.27999999997,4165500.880000001,2107919.3600000003
Q2,519487.12,3093722.76,1006164.54,1847452.8200000003,5014291.68
Q3,1649962.83,1890535.89,1485251.6899999997,137908.15000000002,4849545.99
Q4,0.0,0.0,0.0,0.0,0.0
total,2765519.5700000003,6905500.259999999,2948364.51,6150861.8500000015,11971757.030000001
