,BCLIMATE,RCS,RSDA,H-CEL,RMIB-UGENT
Q1,121491.72,396579.68000000005,194939.00999999998,1481823.92,468823.05000000005
Q2,0.0,0.0,0.0,0.0,0.0
Q3,0.0,0.0,0.0,0.0,0.0
Q4,0.0,0.0,0.0,0.0,0.0
total,121491.72,396579.68000000005,194939.00999999998,1481823.92,468823.05000000005
