,BCLIMATE,RCS,RSDA,H-CEL,RMIB-UGENT
Q1,247005.13,1335721.84,180304.73000000004,2847667.86,617047.64
Q2,0.0,0.0,0.0,0.0,0.0
Q3,0.0,0.0,0.0,0.0,0.0
Q4,0.0,0.0,0.0,0.0,0.0
total,247005.13,1335721.84,180304.73000000004,2847667.86,617047.64
