,BCLIMATE,RCS,RSDA,H-CEL,RMIB-UGENT
Q1,596069.6200000001,1921241.6099999999,456948.27999999997,4165500.88,2107919.3600000003
Q2,519487.1199999999,3093722.7600000002,1006164.5399999999,1847452.82,5014291.68
Q3,2274705.5999999996,1890670.6799999997,1532523.6999999997,145676.15000000002,7204987.029999999
Q4,0.0,0.0,0.0,0.0,2968785.12
total,3390262.34,6905635.05,2995636.5199999996,6158629.850000001,17295983.19
