,BCLIMATE,RCS,RSDA,H-CEL,RMIB-UGENT
Q1,23515.379999999994,352754.39,112525.20999999999,1462991.1700000002,301437.54000000004
Q2,0.0,0.0,0.0,0.0,0.0
Q3,0.0,0.0,0.0,0.0,0.0
Q4,0.0,0.0,0.0,0.0,0.0
total,23515.379999999994,352754.39,112525.20999999999,1462991.1700000002,301437.54000000004
