,BCLIMATE,RCS,RSDA,H-CEL,RMIB-UGENT
Q1,8306985.12,130940.87000000001,334700.47000000003,0.0,3178153.1100000003
Q2,213115.58000000005,1094570.54,365773.4799999999,117463.42,2766263.6
Q3,55131.630000000005,2513901.37,2168595.91,12404.76,2880165.49
Q4,23293.649999999998,810779.4799999999,1005424.3999999998,121518.78,4716231.79
total,8598525.98,4550192.26,3874494.2600000002,251386.96,13540813.990000002
