,BCLIMATE,RCS,RSDA,H-CEL,RMIB-UGENT
Q1,8306985.12,130940.87,334700.4699999999,0.0,3178153.1100000003
Q2,213115.58000000002,1094570.54,365773.48,117463.42,2766263.5999999996
Q3,55131.63,2513901.37,2168595.91,12404.76,2880165.49
Q4,26614.739999999998,927821.8800000001,2167987.16,155664.78999999998,8312049.800000001
total,8601847.07,4667234.66,5037057.0200000005,285532.97,17136632.0
