,BCLIMATE,RCS,RSDA,H-CEL,RMIB-UGENT
Q1,121491.72,1014892.26,272057.62,2844493.17,430366.26999999996
Q2,0.0,0.0,0.0,0.0,0.0
Q3,0.0,0.0,0.0,0.0,0.0
Q4,0.0,0.0,0.0,0.0,0.0
total,121491.72,1014892.26,272057.62,2844493.17,430366.26999999996
